,topic level,topic number,parent,number of documents in topic,topic words,number of words,best lesson,coherence
0,average,average,average,average,average,average,average,0.8913312683293694
1,std dev,std dev,std dev,std dev,std dev,std dev,std dev,0.04546912577354106
2,0,0,-1,1639,"time, flight, require, control, problem, perform, component, failure, data, however",67747,2496,0.6261598914861679
3,1,8,0,248,"base reliability, prefer, reliability, implementation method, technical, test benefit, reliability prefer, rationale, benefit, technical rationale",11052,547,0.7616257905960083
4,1,9,0,103,"tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane",719,1264,0.9405075490474701
5,1,10,0,296,"management, project, lack, formal, manager, organization, contractor, request, risk, development",5382,1368,0.7670530021190644
6,1,11,0,206,"ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle",3176,113,0.8129355192184449
7,1,12,0,301,"valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water",4261,745,0.7827950656414032
8,1,13,0,74,"state microgravity, first united, microgravity, injury, fire occur, damage, first shift, ignite, united, mile",895,1710,0.8693558990955352
9,1,14,0,62,"breaker, effective maintainability benefit, base maintainability, recommend technique, circuit breaker, cost saving, technique number, effective maintainability, fault, saving",659,1208,0.8715554714202881
10,1,15,0,172,"orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system",1252,861,0.8560689568519593
11,2,16,8,19,"follow recommendation, torque analog, base legacy, need great hinge, necessary torque include, great hinge, redesign accommodate, system redesign digital, redesign digital, flight pegasus",1083,1609,0.999997591972351
12,2,17,9,3,"shaker, random vibration, sine burst, open loop, random, quasi, fixturing, sine, impart, random vibration test",240,6196,0.9269938826560974
13,2,18,10,55,"lander, exploration rover, rover, land, martian, additional word, exploration, entry descent land, entry, entry descent",2513,1615,0.8794233977794648
14,2,19,8,11,"optic, spherical, aberration, lens, spie, optical, focal, plane, beam, mirror",1174,718,0.8884984850883484
15,2,20,10,41,"variable size, nasda, adeos, undetected, data capture, processing system seawinds, system seawinds, intermittent nature, interval data, early nasda report",1186,877,0.9805747210979462
16,2,21,11,32,"rocket motor, challenger, case nozzle, review joint solid, challenger space shuttle, trigger detailed, joint catastrophic, challenger space, encounter challenger, rocket motor analysis",650,948,0.969486677646637
17,2,22,12,28,"ventilation, fire department, alarm, perform task, general purpose, scene, technician perform task, extinguisher, fire alarm, contribute",961,291,0.9092580735683441
18,2,23,8,9,"international metal, control international metal, american, nondestructive test, american society, society, inclusion, mcbride, bray mcbride, nondestructive",833,808,0.9337654829025268
19,2,24,8,66,"connector, discharge, electrostatic, voltage, electrostatic discharge, electrical, additional word, chassis, shield, harness",2041,444,0.8295736730098724
20,2,25,11,85,"injury, foot, approximately, crane, platform, side, technician, lift, floor, employee",2577,5496,0.8198411583900451
21,2,26,10,78,"quick disconnect, orbiter, shuttle, space shuttle, disconnect, orbiter processing, space shuttle orbiter, processing, line replaceable, ground umbilical",1189,5396,0.8475480020046234
22,2,27,9,50,"relevant historical, relevant, historical, solder, print, solder joint, print wiring, conformal, conformal coat, viking",726,1152,0.9073693811893463
23,2,28,9,21,"crew return, crew return vehicle, staff, experimental, routine maintenance, bldg, information system llis, system llis, mishap report, duty",492,359,0.9124488890171051
24,2,29,10,29,"caltech propulsion laboratory, caltech, caltech propulsion, science laboratory, document docid, problem failure report, docid, grail, integration test, rover",742,3596,0.8810621976852417
25,2,30,12,127,"mishap occur, wind tunnel, research center, close call, serious injury, investigate committee, constellation program, tunnel, explosion occur, bolt remove",285,7156,0.9327238261699676
26,2,31,10,11,"pyrovalve, combustion, initiator, pyrotechnic, aluminum, fire, pyro, pyroshock, pyrotechnic shock, pyrotechnic device",255,486,0.8705941081047058
27,2,32,89,12,"weld joint, vibration induced, heat sink, maturity, furnace, cartridge, retesting, engineering drawing, open loop, dimensionally",157,28201,0.9249337792396546
28,2,33,94,9,"james, rome development, clue, radc, baselined, labor intensive, development production, costly redesign, next step, adversely affect",86,756,0.9305956184864044
29,2,34,12,36,"extravehicular mobility, extravehicular mobility unit, mishap investigation, thin wall, thin, wall, steam line, catastrophic failure, steam, exhaust",410,315,0.8972530543804169
30,2,35,11,11,"administration, national, national aeronautics, space administration, aeronautics, main parachute, force base, earth atmosphere, jettison, contain",221,361,0.8722912788391113
31,2,36,9,14,"antenna, deployed, stow, motion, conical, deployment sequence, reflector, deployment, partially, upper stage",410,922,0.8777384042739869
