,Lesson(s) Learned,Driving Event Level 1,Driving Event Level 2,Recommendation(s),document IDs for row,number of documents for row
0,accurate,productivity,bag purge,propulsion,[120],1
1,accurate,xenon tank,circuit breaker,velocity,[19101],1
2,apparent,productivity,bag purge,stress analysis,[1608],1
3,apparent,productivity,radiance,valve,[339],1
4,apparent,rover,tutorial text spie,data obtain,[312],1
5,apparent,xenon tank,fault protection,flight ground lander challenge axis,[304],1
6,apparent,xenon tank,variable polarity plasma arc,assumption make,"[27001, 717]",2
7,apparent,xenon tank,variable polarity plasma arc,nozzle,"[720, 718]",2
8,cable assembly,xenon tank,circuit breaker,access panel,[1716],1
9,cable assembly,xenon tank,vibroacoustic qualification,manufacture,"[1876, 881]",2
10,cleaning agent,productivity,bag purge,hazardous activity,[542],1
11,cleaning agent,productivity,bag purge,restraint,[238],1
12,cleaning agent,productivity,cleaning,redundancy management,[1621],1
13,cleaning agent,productivity,demates,assumption make,[1050],1
14,cleaning agent,productivity,demates,radiation,[1007],1
15,cleaning agent,productivity,hot gas,hazardous activity,[541],1
16,cleaning agent,productivity,pfr,outgassing,[303],1
17,cleaning agent,productivity,pfr,valve,[867],1
18,cleaning agent,productivity,radiance,redundancy,[130],1
19,cleaning agent,productivity,radiance,structural integrity,[545],1
20,cleaning agent,productivity,smooth,valve,[488],1
21,cleaning agent,xenon tank,fault protection,supervision,[227],1
22,cleaning agent,xenon tank,vibroacoustic qualification,assumption make,[1008],1
23,clearly identify,productivity,bag purge,assumption make,[1387],1
24,clearly identify,productivity,bag purge,fitting,[498],1
25,clearly identify,productivity,bag purge,spc,[112],1
26,clearly identify,productivity,bag purge,supervision,"[580, 491]",2
27,clearly identify,productivity,bag purge,supervisor,"[2696, 1578]",2
28,clearly identify,productivity,emittance,assumption make,[871],1
29,clearly identify,rcm,foreign object,assumption make,[1004],1
30,clearly identify,valve,nessus,subsystem,[577],1
31,closing,orbital replaceable,mishap,flight ground lander challenge axis,[901],1
32,closing,orbital replaceable,mishap,valve,[145],1
33,closing,productivity,bag purge,assumption make,"[1318, 861, 164, 95, 265]",5
34,closing,productivity,bag purge,coverage,[5996],1
35,closing,productivity,bag purge,emergency stop,[155],1
36,closing,productivity,bag purge,environmental,[73],1
